t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29,t_30,t_31,t_32,t_33,t_34,t_35,t_36,t_37,t_38,t_39,t_40,t_41,t_42,t_43,t_44,t_45,t_46,t_47,t_48,t_49,t_50,t_51,t_52,t_53,t_54,t_55,t_56,t_57,t_58,t_59,t_60,t_61,t_62,t_63,t_64,t_65,t_66,t_67,t_68,t_69,t_70,t_71,t_72,t_73,t_74,t_75,t_76,t_77,t_78,t_79,t_80,t_81,t_82,t_83,t_84,t_85,t_86,t_87,t_88,t_89,t_90,t_91,t_92,t_93,t_94,t_95,t_96,t_97,t_98,t_99,malware
82,16,172,240,117,235,215,274,158,215,274,158,215,240,117,82,172,117,240,117,20,125,172,117,125,172,117,125,172,117,125,208,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,0
198,260,274,158,215,274,158,215,298,25,208,25,172,117,172,117,260,141,65,172,117,172,286,172,117,240,117,286,117,35,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,117,110,60,81,60,81,215,208,35,208,35,240,117,172,60,81,60,81,225,35,60,81,35,225,172,60,81,60,81,60,81,260,172,117,25,240,117,71,297,135,171,215,0
82,228,16,172,240,117,208,215,274,158,215,274,158,215,286,73,286,208,73,286,297,93,286,10,286,208,264,262,274,208,158,187,208,158,187,215,29,215,297,248,286,73,286,73,286,73,286,73,286,73,286,73,286,73,286,73,286,73,286,73,286,73,286,73,286,73,286,73,286,73,286,73,286,73,286,73,286,73,286,257,114,215,286,73,286,73,286,73,286,73,286,73,286,73,286,73,286,73,286,73,0
240,117,240,117,240,117,240,117,240,117,240,117,240,117,240,117,240,117,240,117,240,117,240,117,228,16,86,208,215,86,215,86,215,208,187,208,86,222,135,171,89,149,215,286,208,172,297,135,171,215,80,133,215,208,235,82,172,117,260,141,260,141,260,141,260,141,172,117,141,260,141,260,141,65,260,65,215,274,158,215,274,158,215,240,117,71,297,135,171,215,260,65,156,215,240,262,112,123,65,274,0
286,110,172,240,117,240,117,240,117,106,171,260,141,65,260,141,65,260,141,65,260,141,65,260,141,65,260,215,274,158,215,274,158,215,240,117,71,297,135,171,215,112,117,56,240,117,275,112,240,117,260,141,65,260,117,260,141,65,117,260,141,65,117,9,117,260,65,141,65,260,65,141,65,117,215,260,65,141,65,260,240,117,202,260,141,65,202,65,117,260,297,215,114,215,117,261,106,144,297,117,0
286,172,117,275,208,187,208,240,275,240,275,71,275,112,71,25,71,275,260,240,117,141,65,260,141,274,158,215,274,158,215,65,86,99,71,215,240,275,240,275,240,117,172,117,240,275,240,275,240,275,208,172,117,298,297,135,171,215,240,275,240,275,82,260,141,65,260,141,65,260,141,65,240,172,275,240,117,172,275,240,117,172,117,110,240,117,240,117,106,171,260,141,65,260,141,65,260,141,65,260,0
286,110,172,240,117,240,117,240,117,106,171,260,141,65,260,141,65,260,141,65,260,141,65,260,141,65,260,215,274,158,215,274,158,215,240,117,71,297,135,171,215,112,117,56,240,117,275,112,240,117,260,141,65,260,117,260,141,65,117,260,141,65,117,9,117,260,65,141,65,260,65,141,65,117,215,260,65,141,65,260,240,117,202,260,141,65,202,65,117,260,297,215,114,215,117,261,106,144,297,117,0
286,110,172,240,117,240,117,240,117,106,171,260,141,65,260,141,65,260,141,65,260,141,65,260,141,65,260,215,274,158,215,274,158,215,240,117,71,297,135,171,215,112,117,56,240,117,275,112,240,117,260,141,65,260,117,260,141,65,117,260,141,65,117,9,117,260,65,141,65,260,65,141,65,117,215,260,65,141,65,260,240,117,202,260,141,65,202,65,117,260,297,215,114,215,117,71,25,71,275,260,0
82,16,25,293,256,240,117,71,297,135,171,215,274,158,215,274,158,215,25,31,122,261,89,172,274,158,215,274,158,215,274,158,215,274,158,215,84,18,261,157,82,172,274,158,215,274,158,215,274,158,215,274,158,215,84,18,261,157,82,240,117,274,215,260,65,260,141,65,260,70,260,65,141,260,141,65,260,65,274,215,260,65,260,65,157,274,215,260,65,260,141,65,274,215,260,65,260,141,65,287,0
16,172,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,0
82,16,208,297,93,199,264,215,208,5,172,283,215,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,0
240,117,240,117,240,117,240,117,240,117,240,117,240,117,240,117,240,117,240,117,240,117,240,117,240,117,228,16,86,208,215,86,215,86,215,208,286,110,142,208,142,208,240,117,50,248,194,144,194,266,215,35,208,35,240,117,60,81,35,208,240,117,240,117,208,274,158,172,117,240,117,208,240,117,215,274,35,215,260,141,65,215,260,141,65,260,141,65,260,141,65,240,117,174,35,208,117,35,117,174,0
286,110,172,240,117,240,117,240,117,106,171,260,141,65,260,141,65,260,141,65,260,141,65,260,141,65,260,215,274,158,215,274,158,215,240,117,71,297,135,171,215,112,117,56,240,117,275,112,240,117,260,141,65,260,117,260,141,65,117,260,141,65,117,9,117,260,65,141,65,260,65,141,65,117,215,260,65,141,65,260,240,117,202,260,141,65,202,65,117,260,297,215,114,215,117,261,106,144,297,71,0
82,16,208,257,29,215,112,277,65,112,208,112,257,215,194,257,215,194,297,257,215,194,297,93,257,215,93,10,297,208,264,208,264,208,264,208,264,208,127,297,93,252,199,252,215,112,194,297,194,297,93,257,215,93,10,297,264,208,127,297,93,252,199,252,215,112,194,297,194,297,93,257,215,93,10,297,264,127,297,93,252,199,252,215,112,194,297,194,297,93,257,215,93,10,297,264,127,297,93,252,0
172,117,172,117,172,117,198,208,260,274,158,215,274,158,215,257,215,257,25,172,117,260,274,158,172,117,172,117,260,141,65,286,172,117,240,117,286,35,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,110,60,81,60,81,215,208,35,208,35,240,117,172,60,81,60,81,225,35,60,81,35,225,172,60,81,60,81,60,81,260,172,117,25,240,117,71,297,0
286,110,172,240,117,240,117,240,117,106,171,260,141,65,260,141,65,260,141,65,260,141,65,260,141,65,260,215,274,158,215,274,158,215,240,117,71,297,135,171,215,112,117,56,240,117,275,112,240,117,260,141,65,260,117,260,141,65,117,260,141,65,117,9,117,260,65,141,65,260,65,141,65,117,215,260,65,141,65,260,240,117,202,260,141,65,202,65,117,260,297,215,114,215,117,261,106,144,297,71,0
82,228,16,60,81,60,81,260,208,187,208,240,117,39,35,171,172,117,208,35,215,274,158,215,274,158,215,35,208,35,240,117,89,80,208,35,172,60,81,60,81,215,208,225,35,60,81,35,56,71,56,172,117,240,117,240,117,225,35,225,35,117,35,225,35,225,35,225,215,260,275,208,260,141,65,260,141,65,198,172,117,260,294,240,117,31,117,215,260,141,65,215,35,156,215,156,215,208,260,141,0
82,86,82,37,70,37,240,117,260,117,40,117,209,260,40,117,226,117,65,194,260,117,141,65,20,114,215,260,40,65,260,40,226,65,260,141,65,20,260,40,65,260,141,65,20,260,141,65,260,141,65,260,141,65,82,262,228,275,172,240,275,172,274,158,215,172,117,215,274,215,274,215,274,176,215,274,215,274,158,215,274,215,274,158,215,70,37,158,215,82,240,117,82,240,117,297,8,135,171,198,0
82,16,35,25,215,240,117,71,297,135,171,215,240,117,86,208,86,31,261,106,171,260,240,117,260,65,141,260,65,260,141,65,260,65,141,260,65,194,260,82,240,117,240,117,260,117,141,240,117,261,117,261,117,240,117,215,240,117,260,65,260,65,141,260,65,141,65,260,65,141,260,65,141,65,298,297,135,171,215,261,2,81,140,208,240,117,208,117,60,81,25,117,60,81,25,60,81,25,60,81,0
82,208,187,208,172,117,172,208,16,208,172,117,172,117,172,117,172,117,275,240,275,82,260,141,65,260,141,65,260,141,65,240,275,260,240,275,82,240,275,82,240,275,82,240,275,240,275,240,275,208,187,208,240,275,208,240,275,240,275,240,275,240,275,274,158,274,158,215,274,240,275,112,123,65,240,275,240,275,240,275,240,275,240,275,20,95,240,275,274,158,274,158,215,274,158,274,158,215,274,158,0
198,208,106,271,144,194,257,127,114,127,114,215,280,117,240,117,172,117,172,117,111,172,117,215,260,141,82,260,141,65,260,141,65,260,141,65,240,117,65,86,172,117,215,106,135,171,208,215,260,274,158,215,274,158,215,298,111,81,297,135,171,8,178,215,2,81,140,228,172,117,215,135,171,86,172,117,262,172,117,172,117,99,35,0,117,172,228,20,80,0,208,172,86,215,172,117,172,117,172,117,0
198,208,106,271,144,194,257,127,114,127,114,215,280,117,240,117,172,117,172,117,111,172,117,215,260,141,82,260,141,65,260,141,65,260,141,65,240,117,65,86,172,117,215,106,135,171,208,215,260,274,158,215,274,158,215,298,111,81,297,135,171,8,178,215,2,81,140,228,172,117,215,135,171,86,172,117,262,208,262,172,117,172,117,99,35,0,117,172,228,20,80,0,86,215,172,117,172,117,172,117,0
286,110,172,240,117,240,117,240,117,106,171,260,141,65,260,141,65,260,141,65,260,141,65,260,141,65,260,215,274,158,215,274,158,215,240,117,71,297,135,171,215,112,117,56,240,117,275,112,240,117,260,141,65,260,117,260,141,65,117,260,141,65,117,9,117,260,65,141,65,260,65,141,65,117,215,260,65,141,65,260,240,117,202,260,141,65,202,65,117,260,297,215,114,215,117,261,106,144,297,117,0
82,16,208,243,286,56,2,81,140,2,81,140,142,240,117,260,240,117,240,208,187,208,198,172,117,240,117,297,135,171,215,35,172,117,275,240,80,60,215,31,156,86,194,248,194,144,293,256,297,135,171,215,274,158,215,208,20,34,208,264,187,215,20,34,208,264,187,215,208,20,34,208,264,187,215,20,34,208,264,187,215,208,20,34,208,264,187,215,20,34,208,264,187,215,208,20,34,208,264,187,0
286,110,172,240,117,240,117,240,117,106,171,260,141,65,260,141,65,260,141,65,260,141,65,260,141,65,260,215,274,158,215,274,158,215,240,117,71,297,135,171,215,112,117,56,240,117,275,112,240,117,260,141,65,260,117,260,141,65,117,260,141,65,117,9,117,260,65,141,65,260,65,141,65,117,215,260,65,141,65,260,240,117,202,260,141,65,202,65,117,260,297,215,114,215,117,71,25,71,275,260,0
82,16,31,122,194,260,117,141,117,141,65,260,141,65,257,260,141,65,260,141,65,172,117,260,141,65,240,117,297,8,135,171,215,178,215,260,209,260,141,65,73,260,65,260,65,260,40,209,260,40,226,65,260,141,65,257,215,56,208,187,208,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,0
82,16,297,144,297,199,252,215,274,158,215,31,208,187,208,187,208,71,25,71,275,260,240,117,141,65,260,141,274,158,215,274,158,215,65,86,99,71,215,56,20,135,171,274,34,215,178,240,117,31,261,89,261,214,297,199,252,215,50,172,117,240,117,240,117,208,240,117,172,117,240,117,240,117,240,80,35,240,117,35,260,25,213,60,81,60,81,172,60,81,60,81,35,208,35,240,117,35,60,81,0
82,240,117,240,117,208,187,208,117,208,117,208,172,117,172,117,16,117,208,194,297,93,73,208,264,215,172,117,99,172,117,172,117,260,141,65,172,117,172,117,208,215,117,20,215,297,208,264,187,215,56,215,112,123,65,260,141,65,56,240,117,274,158,215,275,198,274,158,215,275,35,274,158,215,274,158,215,117,2,81,2,81,2,81,2,81,117,208,187,208,275,198,208,187,208,198,20,95,198,112,0
82,172,117,82,16,240,194,31,208,71,25,71,275,260,240,117,141,65,260,141,65,86,99,71,215,240,117,240,262,112,123,65,208,274,158,215,274,158,215,274,158,215,260,72,274,158,215,89,208,117,89,9,215,260,65,141,65,260,65,141,65,89,215,9,215,260,65,141,65,260,65,141,65,117,162,215,162,215,117,50,215,221,31,117,214,194,31,221,31,214,144,252,112,20,215,297,35,240,117,35,0
82,240,117,240,117,240,117,240,117,93,240,117,16,263,215,240,82,117,240,117,240,117,240,117,215,274,158,215,274,158,215,257,240,117,71,297,135,171,215,257,215,257,215,257,215,257,215,257,215,257,215,257,215,257,215,257,114,215,20,215,240,20,215,20,215,82,240,20,215,117,172,117,194,72,208,194,297,208,187,208,240,117,39,35,171,172,117,208,35,215,35,208,35,240,117,224,297,93,10,262,0
82,208,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,208,16,172,117,112,123,172,117,287,260,141,65,260,65,260,65,260,65,260,141,65,260,65,260,65,260,65,260,65,260,65,260,65,260,65,260,65,172,117,260,141,260,65,260,0
286,110,172,240,117,240,117,240,117,106,171,260,141,65,260,141,65,260,141,65,260,141,65,260,141,65,260,215,274,158,215,274,158,215,240,117,71,297,135,171,215,112,117,56,240,117,275,112,240,117,260,141,65,260,117,260,141,65,117,260,141,65,117,9,117,260,65,141,65,260,65,141,65,117,215,260,65,141,65,260,240,117,202,260,141,65,202,65,117,260,297,215,114,215,117,261,106,144,297,71,0
82,208,187,208,172,117,172,208,16,110,172,117,172,117,172,117,172,117,172,117,286,208,257,215,257,215,257,215,257,215,257,215,257,215,257,215,257,215,257,215,2,140,81,208,82,213,2,81,35,2,81,140,35,2,81,2,81,140,266,60,81,215,274,158,215,274,158,215,35,208,35,240,117,208,225,240,117,240,117,71,297,135,171,215,208,240,117,35,240,117,260,35,117,35,56,240,178,215,117,208,0
82,16,60,81,60,81,213,215,208,187,208,240,117,39,35,171,172,117,208,35,215,35,208,35,240,117,172,60,81,60,81,35,31,106,171,260,141,65,260,240,117,71,297,135,171,215,60,81,140,60,81,208,187,208,274,158,208,60,81,240,117,35,240,117,35,240,117,35,240,117,260,141,65,25,60,81,117,35,117,225,117,35,225,35,225,35,225,35,225,35,225,35,225,215,275,240,117,31,117,215,0
82,16,271,31,261,240,117,261,117,260,226,141,240,117,208,117,226,65,215,274,158,215,274,158,215,117,274,158,215,89,208,159,261,159,89,159,274,215,260,65,260,141,65,260,70,260,65,141,260,141,65,260,65,274,215,260,65,260,65,240,117,274,215,260,65,260,141,65,208,274,215,260,65,260,141,65,89,208,215,287,125,274,215,260,65,260,141,65,208,274,215,260,65,260,141,65,89,274,215,260,0
16,260,141,65,260,141,65,198,172,117,260,294,275,112,71,208,71,25,71,275,260,240,117,141,65,260,141,274,158,215,274,158,215,65,86,99,71,215,274,158,215,240,50,297,93,297,93,57,215,297,60,172,117,208,187,208,240,117,39,35,171,172,117,208,35,215,35,208,35,240,117,208,274,158,215,240,117,50,297,213,215,274,278,274,158,215,278,274,158,215,278,274,158,215,278,274,158,215,278,274,0
286,110,172,240,117,240,117,240,117,106,171,260,141,65,260,141,65,260,141,65,260,141,65,260,141,65,260,215,274,158,215,274,158,215,240,117,71,297,135,171,215,112,117,56,240,117,275,112,240,117,260,141,65,260,117,260,141,65,117,260,141,65,117,9,117,260,65,141,65,260,65,141,65,117,215,260,65,141,65,260,240,117,202,260,141,65,202,65,117,260,297,215,114,215,71,25,71,275,260,240,0
82,208,187,208,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,208,172,117,82,16,208,35,240,117,50,172,117,172,240,117,82,240,117,240,117,240,117,208,86,243,286,172,117,56,2,81,140,142,172,117,260,208,194,2,81,142,208,35,208,172,60,81,140,172,117,35,215,274,158,215,274,158,215,208,187,208,274,158,266,142,215,35,240,117,60,81,240,117,240,0
208,187,208,93,208,172,117,82,60,81,60,81,297,93,215,260,141,65,260,141,65,198,172,117,260,294,275,112,240,262,112,123,65,274,158,215,274,158,215,274,158,215,260,72,274,158,215,89,208,35,215,274,158,215,274,158,215,240,117,172,60,81,60,81,208,187,208,240,117,39,35,171,172,117,208,35,215,35,208,35,240,117,208,240,117,71,297,135,171,215,208,225,35,60,81,35,225,35,225,215,0
240,117,240,117,240,117,240,117,240,117,35,60,81,60,81,60,81,60,81,20,215,47,60,81,47,60,81,47,60,81,47,60,81,47,60,81,47,60,81,47,20,215,80,215,60,81,215,274,158,215,274,158,215,35,208,35,225,240,117,172,117,215,82,208,225,240,117,35,117,35,117,35,240,117,71,297,135,171,215,117,35,117,35,172,117,35,47,60,81,60,81,47,60,81,60,81,47,60,81,60,0
286,110,172,240,117,240,117,240,117,106,171,260,141,65,260,141,65,260,141,65,260,141,65,260,141,65,260,215,274,158,215,274,158,215,240,117,71,297,135,171,215,112,117,56,240,117,275,112,240,117,260,141,65,260,117,260,141,65,117,260,141,65,117,9,117,260,65,141,65,260,65,141,65,117,215,260,65,141,65,260,240,117,202,260,141,65,202,65,117,260,297,215,114,215,117,261,106,144,297,117,0
240,117,240,117,240,117,240,117,240,117,240,117,228,16,260,141,65,260,141,65,198,172,117,260,294,275,112,71,25,71,275,260,240,117,141,65,260,141,274,158,215,274,158,215,65,86,99,71,215,208,274,158,215,240,50,297,93,297,93,57,60,172,117,215,208,240,117,39,35,171,172,117,208,35,215,35,208,35,240,117,274,158,215,240,117,50,297,213,215,274,278,274,158,215,278,274,158,215,278,274,0
198,208,106,271,144,194,257,127,114,127,114,215,280,117,172,111,81,140,111,81,140,111,81,140,111,81,140,111,240,117,172,117,172,117,111,172,117,215,260,141,82,260,141,65,260,141,65,260,141,65,240,117,65,86,172,117,215,106,135,171,208,215,260,274,158,215,274,158,215,298,111,81,111,172,117,215,86,215,172,111,172,117,215,86,215,260,298,111,81,172,117,215,86,215,172,117,215,86,215,297,0
82,208,187,208,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,172,117,208,172,117,16,86,194,248,297,208,60,81,60,81,293,256,208,187,208,240,117,39,35,171,172,117,208,35,215,35,208,35,208,240,117,110,240,117,35,240,117,240,117,240,117,208,117,35,240,117,260,35,117,35,208,187,208,274,158,35,60,81,60,81,172,60,81,60,81,35,172,60,81,60,81,0
286,110,172,240,117,240,117,240,117,106,171,260,141,65,260,141,65,260,141,65,260,141,65,260,141,65,260,215,274,158,215,274,158,215,240,117,71,297,135,171,215,112,117,56,240,117,275,112,240,117,260,141,65,260,117,260,141,65,117,260,141,65,117,9,117,260,65,141,65,260,65,141,65,117,215,260,65,141,65,260,240,117,202,260,141,65,202,65,117,260,297,215,114,215,117,261,106,144,297,117,0
172,117,172,117,172,117,198,208,260,274,158,215,274,158,215,257,215,257,25,172,117,260,274,158,172,117,172,117,260,141,65,286,172,117,240,117,286,35,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,110,60,81,60,81,215,208,35,208,35,240,117,172,60,81,60,81,225,35,60,81,35,225,172,60,81,60,81,60,81,260,172,117,25,240,117,71,297,0
240,117,228,208,286,76,110,240,117,208,187,208,198,208,228,172,117,172,117,35,47,240,117,60,81,60,81,172,117,35,60,81,60,81,215,274,158,194,158,194,158,194,158,194,35,112,13,208,228,208,228,208,172,117,274,215,106,171,260,141,65,240,117,260,141,65,274,215,260,65,260,274,215,260,65,260,274,215,260,65,260,274,215,260,65,260,274,215,260,65,260,274,215,260,65,260,274,215,260,65,0
240,117,240,117,240,117,240,117,240,117,240,117,240,117,228,16,260,141,65,260,141,65,198,172,117,260,294,208,275,112,71,25,71,275,260,240,117,141,65,260,141,274,158,215,274,158,215,65,86,99,71,215,274,158,215,240,50,297,93,297,93,57,60,172,117,215,208,187,208,240,117,39,35,171,172,117,208,35,215,35,208,35,240,117,274,158,215,240,117,50,297,213,215,274,278,274,158,215,278,274,0
82,16,260,86,213,208,86,31,208,187,208,198,172,117,172,117,215,274,158,215,274,158,215,240,117,71,297,135,171,215,35,172,117,275,240,80,260,60,215,31,261,122,287,240,117,11,117,274,215,260,65,260,141,65,260,141,65,172,117,240,117,260,65,274,158,215,274,158,215,274,158,215,89,172,80,215,136,240,117,91,117,74,117,7,159,117,261,215,260,141,65,157,287,89,157,274,215,260,65,260,0
82,172,117,16,293,256,215,286,73,286,240,117,20,125,286,73,286,73,286,73,286,73,286,73,286,73,286,73,286,73,286,73,286,73,286,73,286,73,286,73,286,172,117,257,114,215,286,73,286,73,286,73,286,73,286,73,286,73,286,73,286,73,286,73,286,73,286,73,286,297,286,10,286,135,198,171,215,178,215,286,73,286,172,117,240,286,117,110,275,240,117,172,117,172,117,275,240,297,135,171,0
82,16,208,187,208,240,117,39,35,171,172,117,208,35,208,35,240,117,56,71,56,172,117,172,117,240,117,240,117,240,117,208,172,117,240,117,240,117,240,117,60,81,35,117,240,117,208,60,81,215,208,187,208,274,158,266,215,208,60,81,240,117,240,117,71,297,135,171,215,35,240,117,240,117,208,35,240,117,260,35,117,35,56,240,178,215,117,35,106,171,260,141,65,260,117,35,240,117,208,117,0
82,16,31,122,208,86,89,208,31,125,89,208,287,89,208,117,261,208,274,215,260,65,260,65,159,56,198,117,86,71,25,71,275,260,240,117,141,65,260,141,274,158,215,274,158,215,65,86,99,71,215,56,240,86,172,117,99,260,141,65,240,117,208,297,199,264,199,264,199,264,199,264,199,264,199,264,199,264,199,264,199,264,199,264,199,264,8,135,198,171,172,117,274,215,260,65,260,141,65,260,0
286,110,172,240,117,240,117,240,117,106,171,260,141,65,260,141,65,260,141,65,260,141,65,260,141,65,260,215,274,158,215,274,158,215,240,117,71,297,135,171,215,112,117,56,240,117,275,112,240,117,260,141,65,260,117,260,141,65,117,260,141,65,117,9,117,260,65,141,65,260,65,141,65,117,215,260,65,141,65,260,240,117,202,260,141,65,202,65,117,260,297,215,114,215,117,71,25,71,275,260,0
112,215,298,76,208,76,172,117,172,117,172,76,117,35,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,117,60,81,60,81,208,35,215,35,208,35,240,117,172,60,81,60,81,225,35,60,81,35,225,172,60,81,60,81,60,81,172,117,172,117,172,117,76,172,117,198,172,76,228,76,208,198,271,172,228,172,117,99,260,141,65,240,117,0
286,110,172,240,117,240,117,240,117,106,171,260,141,65,260,141,65,260,141,65,260,141,65,260,141,65,260,215,274,158,215,274,158,215,240,117,71,297,135,171,215,112,117,56,240,117,275,112,240,117,260,141,65,260,117,260,141,65,117,260,141,65,117,9,117,260,65,141,65,260,65,141,65,117,215,260,65,141,65,260,240,117,202,260,141,65,202,65,117,260,297,215,114,215,117,261,106,144,297,71,0
82,172,117,16,208,35,243,248,144,117,260,117,135,171,100,215,100,89,215,178,215,100,89,215,117,31,117,240,117,260,141,65,260,141,65,260,141,65,260,141,65,260,141,65,260,112,56,240,117,240,117,260,141,65,260,117,260,141,65,260,141,65,117,260,240,117,202,260,141,65,202,65,117,135,171,100,215,100,89,215,178,215,100,89,215,171,178,171,215,178,100,89,215,171,178,171,215,178,204,117,0
286,110,172,240,117,240,117,240,117,106,171,260,141,65,260,141,65,260,141,65,260,141,65,260,141,65,260,215,274,158,215,274,158,215,240,117,71,297,135,171,215,112,117,56,240,117,275,112,240,117,260,141,65,260,117,260,141,65,117,260,141,65,117,9,117,260,65,141,65,260,65,141,65,117,215,260,65,141,65,260,240,117,202,260,141,65,202,65,117,260,297,215,114,215,117,261,106,144,297,117,0
82,172,117,16,172,117,172,117,198,208,248,144,297,93,297,93,240,117,240,117,260,141,65,260,141,65,260,141,65,215,50,248,73,29,262,274,208,158,187,208,158,187,215,29,262,274,208,158,187,208,158,187,215,29,262,274,208,158,187,208,158,187,215,297,93,10,262,274,208,158,187,208,158,187,215,262,274,208,158,187,208,158,187,215,262,274,208,158,187,208,158,187,215,73,29,73,29,82,240,117,0
286,110,172,240,117,240,117,240,117,106,171,260,141,65,260,141,65,260,141,65,260,141,65,260,141,65,260,215,274,158,215,274,158,215,240,117,71,297,135,171,215,112,117,56,240,117,275,112,240,117,260,141,65,260,117,260,141,65,117,260,141,65,117,9,117,260,65,141,65,260,65,141,65,117,215,260,65,141,65,260,240,117,202,260,141,65,202,65,117,260,297,215,114,215,117,261,106,144,297,117,0
286,110,172,240,117,240,117,240,117,106,171,260,141,65,260,141,65,260,141,65,260,141,65,260,141,65,260,215,274,158,215,274,158,215,240,117,71,297,135,171,215,112,117,56,240,117,275,112,240,117,260,141,65,260,117,260,141,65,117,260,141,65,117,9,117,260,65,141,65,260,65,141,65,117,215,260,65,141,65,260,240,117,202,260,141,65,202,65,117,260,297,215,114,215,117,261,106,144,297,71,0
16,240,50,83,297,93,83,297,93,83,57,257,29,215,257,144,257,144,257,144,252,297,240,80,86,60,172,117,215,208,187,208,240,117,39,35,171,172,117,208,35,57,215,35,57,208,35,240,117,57,274,158,215,57,240,117,50,297,213,215,274,278,274,158,215,57,278,274,158,215,278,274,158,215,278,274,158,215,278,274,158,215,278,274,158,215,278,274,158,215,278,274,158,215,278,274,158,57,158,215,0
82,16,215,274,158,215,274,158,215,240,117,71,297,135,171,215,86,31,25,274,215,260,65,260,141,65,106,298,157,106,171,261,260,70,260,141,260,65,100,215,122,287,240,117,11,117,274,215,260,65,260,141,65,260,141,65,172,117,240,117,260,65,208,274,158,215,274,158,215,274,158,215,89,172,80,215,172,117,287,89,117,261,260,141,65,274,215,260,65,260,141,65,260,70,260,141,260,65,274,215,0
82,16,31,240,117,208,187,208,240,117,39,35,171,172,117,208,35,215,274,158,215,274,158,215,35,208,35,240,117,25,172,117,274,215,106,171,260,141,65,240,117,260,70,260,141,65,260,141,65,141,260,65,122,287,240,117,11,117,274,215,260,65,260,141,65,274,158,215,172,117,260,141,65,172,117,240,117,260,65,208,274,158,215,274,158,215,274,158,215,208,89,208,172,80,215,260,141,65,208,80,0
286,110,172,240,117,240,117,240,117,106,171,260,141,65,260,141,65,260,141,65,260,141,65,260,141,65,260,215,274,158,215,274,158,215,240,117,71,297,135,171,215,112,117,56,71,56,172,117,240,117,275,112,240,117,260,141,65,260,117,260,141,65,117,260,141,65,117,9,117,260,65,141,65,260,65,141,65,117,215,260,65,141,65,260,240,117,202,260,141,65,202,65,117,260,297,215,114,215,117,261,0
82,208,187,208,172,117,172,208,82,16,208,243,35,208,240,117,275,240,117,172,117,208,35,215,274,215,274,158,215,274,215,274,158,215,35,208,286,56,2,13,112,86,82,147,208,240,117,111,81,140,271,297,252,215,56,208,187,208,172,117,172,208,240,117,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,0
16,172,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,0
172,117,172,117,172,117,198,208,260,274,158,215,274,158,215,257,215,257,25,172,117,260,274,158,172,117,172,117,29,260,141,65,286,172,117,240,117,286,35,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,60,81,110,60,81,60,81,215,208,35,208,35,240,117,172,60,81,60,81,225,35,60,81,35,225,172,60,81,60,81,60,81,260,172,117,260,257,25,240,0
